comment_id,comment_text,video_title,channel_name,likes,reply_count,published_date,vader_compound,tb_polarity,tb_subjectivity,sentiment_label,language_detected
CMT00001,"This is the worst video I have ever seen, waste of time. 💀",Machine Learning Crash Course,Telusko,4,0,2025-03-08 01:01:00,-0.2929,-0.7674,0.175,Negative,English
CMT00002,"I cannot believe this has so many views, very disappointing. Thanks! ❌",SQL for Data Analysis,Programming with Mosh,30,17,2024-01-07 05:44:00,-0.8031,-0.3826,0.4381,Negative,English
CMT00003,"Absolutely brilliant explanation, 10 out of 10! Great work. ✨",Reinforcement Learning Guide,CampusX,65,2,2025-04-15 17:07:00,0.1461,0.4109,0.8785,Positive,English
CMT00004,"Not helpful at all, I had to go elsewhere to understand. 😤",Machine Learning Crash Course,TechWithTim,9,10,2024-08-21 09:05:00,-0.1577,-0.6564,0.7843,Negative,English
CMT00005,"This video deserves way more views, so underrated! 🎉",Machine Learning Crash Course,Programming with Mosh,8,2,2024-09-07 05:29:00,0.2029,0.3875,0.4036,Positive,Hinglish
CMT00006,"Boring and repetitive, just reading the slides word by word. 😤",Web Development with Flask,StatQuest,1,1,2024-03-08 06:58:00,-0.1977,-0.2628,0.8543,Negative,Hindi
CMT00007,"This changed my life, thank you from the bottom of my heart! Thanks! 🙌",Natural Language Processing Basics,CodeBasics,2,1,2024-09-26 23:37:00,0.4219,0.9188,0.4427,Positive,Hinglish
CMT00008,"Wow this is so good, subscribing right now! 😊",Data Science with Pandas,CodeBasics,100,50,2025-03-08 19:04:00,0.529,0.1364,0.4078,Positive,Hinglish
CMT00009,"I cannot believe this has so many views, very disappointing. 👎",Computer Vision with OpenCV,CampusX,9,10,2024-12-14 03:18:00,-0.1809,-0.9891,0.4478,Negative,English
CMT00010,Just here to understand the basics. 🤔,Natural Language Processing Basics,Telusko,6,3,2024-06-05 11:48:00,0.0378,0.021,0.2292,Neutral,Tamil
CMT00011,I will share this with my classmates. Great work. 😶,Deep Learning Explained,TechWithTim,0,0,2024-03-21 02:46:00,-0.0141,-0.0384,0.4888,Neutral,English
CMT00012,This video is way too long and covers nothing useful. Great work. 💀,Computer Vision with OpenCV,Programming with Mosh,35,27,2024-08-04 17:48:00,-0.8693,-0.5485,0.6839,Negative,English
CMT00013,"This video deserves way more views, so underrated! Thanks! 🔥",Deep Learning Explained,Sentdex,89,21,2024-01-22 18:35:00,0.4618,0.5417,0.2841,Positive,English
CMT00014,"Best tutorial I have ever watched, very helpful! ✨",Computer Vision with OpenCV,KrishNaik,11,4,2025-05-12 06:34:00,0.2652,0.9101,0.2058,Positive,Hinglish
CMT00015,"This changed my life, thank you from the bottom of my heart! 🔥",Neural Networks Tutorial,3Blue1Brown,10,6,2025-02-24 14:55:00,0.809,0.2309,0.6833,Positive,Hindi
CMT00016,I am going to try this method later. Thanks! 🤔,Deep Learning Explained,KrishNaik,1,2,2025-04-04 04:27:00,-0.0352,0.0183,0.2468,Neutral,English
CMT00017,Came here from Google search. 🤔,Computer Vision with OpenCV,TechWithTim,1,0,2024-08-30 05:26:00,-0.0045,0.0289,0.4885,Neutral,English
CMT00018,First comment from my side on this channel. Keep it up! 🙄,Natural Language Processing Basics,StatQuest,3,4,2025-05-13 04:12:00,-0.0097,0.0388,0.3374,Neutral,English
CMT00019,"Terrible explanation, I understand nothing after watching this. Please reply. 🚫",Computer Vision with OpenCV,CodeBasics,5,0,2025-06-04 02:54:00,-0.2869,-0.9457,0.2487,Negative,Hinglish
CMT00020,"Clickbait title, the video has nothing to do with it. Please reply. 😤",Reinforcement Learning Guide,TechWithTim,3,4,2024-03-24 13:42:00,-0.6105,-0.1055,0.5669,Negative,English
